iter	Passed	Remaining
0	0	78
1	1	71
2	2	65
3	2	62
4	3	60
5	3	58
6	4	56
7	4	55
8	5	54
9	5	53
10	6	52
11	7	51
12	7	50
13	8	50
14	8	48
15	9	47
16	9	46
17	10	46
18	10	45
19	11	44
20	11	44
21	12	43
22	12	42
23	13	42
24	13	41
25	14	41
26	15	40
27	15	40
28	16	39
29	16	38
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	19	35
36	20	34
37	20	34
38	21	33
39	21	32
40	22	32
41	22	31
42	23	31
43	24	30
44	24	30
45	25	29
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	28	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	34	20
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	17
69	38	16
70	39	15
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	47	8
85	47	7
86	48	7
87	49	6
88	50	6
89	50	5
90	51	5
91	52	4
92	53	3
93	53	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
